Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-03 17:52:00.66;0.00:00:00:053;-0.16;0.02;-0.99;3.83E-06;-5.954E-07;9.011E-08;-3.595E-06;85.70;-40.25;95.18;93.87;15.72;3.83E-06;3.645E-06;1.846E-07;-54.168;-54.383;-67.339;0.42;-88.56;
2026-02-03 17:52:00.71;0.00:00:00:106;-0.27;-0.09;-0.96;4.267E-06;-1.076E-06;-3.55E-07;-3.757E-06;-80.87;-36.61;91.97;88.05;26.55;4.267E-06;3.924E-06;3.428E-07;-53.699;-54.063;-64.650;0.36;-95.40;
2026-02-03 17:52:00.76;0.00:00:00:155;-0.33;0.15;-0.93;4.138E-06;-1.274E-06;5.859E-07;-3.642E-06;77.65;-34.47;94.30;88.00;33.89;4.138E-06;3.902E-06;2.357E-07;-53.832;-54.087;-66.277;0.34;-80.86;
2026-02-03 17:52:00.81;0.00:00:00:201;-0.13;0.17;-0.98;3.783E-06;-5.036E-07;6.331E-07;-3.661E-06;64.25;-38.77;99.11;96.78;21.39;3.783E-06;3.749E-06;3.356E-08;-54.222;-54.261;-74.742;0.43;-80.19;
2026-02-03 17:52:00.86;0.00:00:00:250;-0.04;0.23;-0.97;3.739E-06;-1.392E-07;7.661E-07;-3.3E-06;50.15;-38.36;90.67;88.25;20.82;3.739E-06;3.391E-06;3.49E-07;-54.272;-54.697;-64.572;0.48;-76.93;
2026-02-03 17:52:00.91;0.00:00:00:298;-0.10;0.05;-0.99;3.571E-06;-3.342E-07;1.818E-07;-3.468E-06;75.72;-41.87;97.69;97.11;10.65;3.571E-06;3.489E-06;8.257E-08;-54.472;-54.573;-70.832;0.45;-87.00;
2026-02-03 17:52:00.96;0.00:00:00:349;-0.33;0.03;-0.94;4.152E-06;-1.205E-06;9.517E-08;-3.42E-06;87.74;-35.26;87.36;82.36;29.12;4.152E-06;3.627E-06;5.248E-07;-53.817;-54.404;-62.800;0.33;-88.41;
2026-02-03 17:52:01.00;0.00:00:00:396;-0.26;-0.02;-0.97;4.013E-06;-9.163E-07;-7.548E-08;-3.413E-06;-87.65;-37.46;88.08;85.05;22.91;4.013E-06;3.535E-06;4.785E-07;-53.965;-54.516;-63.201;0.37;-91.27;
2026-02-03 17:52:01.06;0.00:00:00:446;-0.32;0.16;-0.94;4.166E-06;-1.22E-06;6.196E-07;-3.608E-06;76.54;-34.62;92.65;86.63;32.85;4.166E-06;3.859E-06;3.063E-07;-53.803;-54.135;-65.138;0.34;-80.26;
2026-02-03 17:52:01.11;0.00:00:00:498;-0.10;0.22;-0.97;3.791E-06;-3.206E-07;7.078E-07;-3.126E-06;57.18;-38.02;84.97;82.46;20.50;3.791E-06;3.221E-06;5.698E-07;-54.213;-54.920;-62.443;0.45;-77.24;
2026-02-03 17:52:01.16;0.00:00:00:546;-0.11;0.09;-0.99;3.952E-06;-4.22E-07;3.195E-07;-3.69E-06;71.43;-40.92;94.34;93.39;13.39;3.952E-06;3.728E-06;2.235E-07;-54.032;-54.285;-66.507;0.44;-85.05;
2026-02-03 17:52:01.21;0.00:00:00:598;-0.34;0.00;-0.94;4.12E-06;-1.184E-06;3.831E-09;-3.313E-06;89.91;-35.16;85.39;80.40;28.75;4.12E-06;3.518E-06;6.02E-07;-53.851;-54.537;-62.204;0.33;-89.93;
