Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-03 17:54:01.53;0.00:00:00:046;-1.00;0.10;-0.01;4.969E-06;-4.933E-06;4.759E-07;-2.67E-08;87.25;-0.15;99.75;0.54;99.75;4.969E-06;4.956E-06;1.258E-08;-53.038;-53.049;-79.004;0.00;-3.21;
2026-02-03 17:54:01.58;0.00:00:00:096;-0.99;0.10;0.00;4.984E-06;-4.955E-06;5.107E-07;-7.924E-09;87.06;-0.05;99.95;0.16;99.95;4.984E-06;4.981E-06;2.481E-09;-53.025;-53.027;-86.054;0.00;-0.89;
2026-02-03 17:54:01.63;0.00:00:00:146;-0.99;0.11;0.00;4.974E-06;-4.952E-06;5.406E-07;-1.617E-08;86.88;-0.09;100.16;0.33;100.16;4.974E-06;4.982E-06;-8.137E-09;-53.033;-53.026;-99.990;0.00;-1.71;
2026-02-03 17:54:01.68;0.00:00:00:195;-0.99;0.10;-0.01;4.979E-06;-4.953E-06;4.958E-07;-4.589E-08;87.14;-0.26;99.98;0.92;99.98;4.979E-06;4.978E-06;7.728E-10;-53.028;-53.029;-91.119;0.00;-5.29;
2026-02-03 17:54:01.73;0.00:00:00:248;-1.00;0.09;0.00;4.979E-06;-4.951E-06;4.714E-07;-1.368E-08;87.28;-0.08;99.90;0.27;99.90;4.979E-06;4.974E-06;4.932E-09;-53.029;-53.033;-83.070;0.00;-1.66;
2026-02-03 17:54:01.78;0.00:00:00:297;-0.99;0.11;0.00;4.989E-06;-4.968E-06;5.33E-07;-2.024E-08;86.94;-0.12;100.15;0.41;100.15;4.989E-06;4.996E-06;-7.359E-09;-53.020;-53.013;-99.990;0.00;-2.17;
2026-02-03 17:54:01.83;0.00:00:00:347;-0.99;0.10;0.00;5.008E-06;-4.98E-06;5.132E-07;-7.402E-09;87.06;-0.04;99.96;0.15;99.96;5.008E-06;5.006E-06;2.17E-09;-53.003;-53.005;-86.634;0.00;-0.83;
2026-02-03 17:54:01.88;0.00:00:00:396;-0.99;0.11;-0.01;4.981E-06;-4.955E-06;5.507E-07;-2.574E-08;86.83;-0.15;100.09;0.52;100.09;4.981E-06;4.986E-06;-4.563E-09;-53.027;-53.023;-99.990;0.00;-2.68;
2026-02-03 17:54:01.93;0.00:00:00:448;-1.00;0.09;-0.01;5E-06;-4.977E-06;4.616E-07;-3.142E-08;87.35;-0.18;99.97;0.63;99.97;5E-06;4.999E-06;1.292E-09;-53.010;-53.011;-88.887;0.00;-3.89;
2026-02-03 17:54:01.99;0.00:00:00:509;-0.99;0.10;-0.01;4.981E-06;-4.954E-06;5.224E-07;-2.839E-08;86.99;-0.16;100.00;0.57;100.00;4.981E-06;4.981E-06;1.176E-10;-53.026;-53.027;-99.297;0.00;-3.11;
2026-02-03 17:54:02.04;0.00:00:00:558;-0.99;0.11;0.00;4.963E-06;-4.935E-06;5.313E-07;-1.494E-08;86.93;-0.09;100.01;0.30;100.01;4.963E-06;4.963E-06;-2.928E-10;-53.042;-53.042;-99.990;0.00;-1.61;
