LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,12-Feb-2026 14:41:10,0                 
Time,Ampl
-0.0522001358,-0.005
-0.0521999358,-0.0078
-0.0521997358,-0.0042
-0.0521995358,-0.0046
-0.0521993358,-0.0034
-0.0521991358,-0.0002
-0.0521989358,-0.0034
-0.0521987358,-0.003
-0.0521985358,-0.0054
-0.0521983358,-0.0034
-0.0521981358,-0.005
-0.0521979358,0.001
-0.0521977358,-0.0038
-0.0521975358,-0.001
-0.0521973358,-0.0058
-0.0521971358,-0.0034
-0.0521969358,-0.003
-0.0521967358,-0.003
-0.0521965358,-0.0054
-0.0521963358,-0.0014
-0.0521961358,-0.0022
-0.0521959358,-0.0022
-0.0521957358,-0.0018
-0.0521955358,-0.0038
-0.0521953358,-0.0038
-0.0521951358,0.0002
-0.0521949358,-0.005
-0.0521947358,-0.0066
-0.0521945358,-0.0042
-0.0521943358,-0.0018
-0.0521941358,-0.003
-0.0521939358,-0.001
-0.0521937358,-0.0066
-0.0521935358,-0.0058
-0.0521933358,-0.0046
-0.0521931358,-0.007
-0.0521929358,-0.0022
-0.0521927358,-0.0062
-0.0521925358,-0.005
-0.0521923358,-0.001
-0.0521921358,-0.0014
-0.0521919358,-0.0014
-0.0521917358,-0.0026
-0.0521915358,-0.001
-0.0521913358,0.001
-0.0521911358,0.0038
-0.0521909358,-0.001
-0.0521907358,-0.0018
-0.0521905358,0.0002
-0.0521903358,-0.003
-0.0521901358,-0.0006
-0.0521899358,-0.0014
-0.0521897358,0.0022
-0.0521895358,-0.0038
-0.0521893358,-0.0026
-0.0521891358,-0.0018
-0.0521889358,0.0002
-0.0521887358,-0.0034
-0.0521885358,0.0022
-0.0521883358,-0.0022
-0.0521881358,-0.0014
-0.0521879358,0.0022
-0.0521877358,-0.0038
-0.0521875358,-0.003
-0.0521873358,-0.0002
-0.0521871358,0.001
-0.0521869358,0.001
-0.0521867358,-0.0054
-0.0521865358,0.0014
-0.0521863358,-0.0006
-0.0521861358,-0.0018
-0.0521859358,0.0006
-0.0521857358,0.001
-0.0521855358,0.0002
-0.0521853358,-0.0014
-0.0521851358,-0.0058
-0.0521849358,-0.009
-0.0521847358,-0.009
-0.0521845358,-0.0058
-0.0521843358,-0.0018
-0.0521841358,-0.0074
-0.0521839358,-0.0078
-0.0521837358,-0.0038
-0.0521835358,-0.0066
-0.0521833358,-0.003
-0.0521831358,-0.0074
-0.0521829358,-0.0034
-0.0521827358,-0.0042
-0.0521825358,-0.0002
-0.0521823358,-0.0014
-0.0521821358,-0.0026
-0.0521819358,0.001
-0.0521817358,-0.0014
-0.0521815358,-0.0018
-0.0521813358,-0.0002
-0.0521811358,-0.0002
-0.0521809358,-0.0046
-0.0521807358,-0.0014
-0.0521805358,-0.001
-0.0521803358,-0.001
-0.0521801358,-0.0006
-0.0521799358,-0.0018
-0.0521797358,-0.0022
-0.0521795358,0.0022
-0.0521793358,0.0006
-0.0521791358,-0.003
-0.0521789358,0.0022
-0.0521787358,0.0018
-0.0521785358,0.0002
-0.0521783358,-0.0034
-0.0521781358,-0.0022
-0.0521779358,-0.0018
-0.0521777358,-0.0038
-0.0521775358,-0.0046
-0.0521773358,-0.0062
-0.0521771358,-0.007
-0.0521769358,-0.0066
-0.0521767358,-0.0062
-0.0521765358,-0.0022
-0.0521763358,-0.0066
-0.0521761358,-0.0042
-0.0521759358,-0.0046
-0.0521757358,-0.0034
-0.0521755358,-0.0018
-0.0521753358,-0.0058
-0.0521751358,-0.0046
-0.0521749358,-0.003
-0.0521747358,-0.007
-0.0521745358,-0.0022
-0.0521743358,0.0006
-0.0521741358,0.0026
-0.0521739358,-0.0002
-0.0521737358,-0.0006
-0.0521735358,0.0006
-0.0521733358,-0.0034
-0.0521731358,-0.0014
-0.0521729358,-0.0014
-0.0521727358,-0.0022
-0.0521725358,-0.0046
-0.0521723358,-0.0058
-0.0521721358,-0.0038
-0.0521719358,-0.0026
-0.0521717358,-0.0062
-0.0521715358,-0.0018
-0.0521713358,-0.0038
-0.0521711358,-0.005
-0.0521709358,-0.0022
-0.0521707358,-0.0058
-0.0521705358,-0.003
-0.0521703358,-0.0046
-0.0521701358,-0.007
-0.0521699358,-0.0054
-0.0521697358,-0.0042
-0.0521695358,-0.003
-0.0521693358,-0.005
-0.0521691358,-0.001
-0.0521689358,-0.0038
-0.0521687358,-0.0074
-0.0521685358,-0.001
-0.0521683358,-0.0042
-0.0521681358,-0.005
-0.0521679358,-0.0062
-0.0521677358,-0.0018
-0.0521675358,-0.0058
-0.0521673358,-0.0062
-0.0521671358,-0.0086
-0.0521669358,-0.007
-0.0521667358,-0.0078
-0.0521665358,-0.0066
-0.0521663358,-0.005
-0.0521661358,-0.0086
-0.0521659358,-0.005
-0.0521657358,-0.0074
-0.0521655358,-0.0034
-0.0521653358,-0.0058
-0.0521651358,-0.0002
-0.0521649358,-0.0026
-0.0521647358,-0.003
-0.0521645358,-0.0066
-0.0521643358,-0.0026
-0.0521641358,-0.0074
-0.0521639358,-0.007
-0.0521637358,-0.0014
-0.0521635358,-0.003
-0.0521633358,-0.0074
-0.0521631358,-0.0034
-0.0521629358,-0.0078
-0.0521627358,-0.0034
-0.0521625358,-0.0074
-0.0521623358,-0.0026
-0.0521621358,-0.0042
-0.0521619358,-0.003
-0.0521617358,-0.0018
-0.0521615358,-0.001
-0.0521613358,-0.0046
-0.0521611358,-0.003
-0.0521609358,0.001
-0.0521607358,-0.005
-0.0521605358,-0.003
-0.0521603358,-0.0034
-0.0521601358,-0.0058
-0.0521599358,-0.0014
-0.0521597358,-0.0026
-0.0521595358,-0.0066
-0.0521593358,-0.005
-0.0521591358,-0.0046
-0.0521589358,-0.0034
-0.0521587358,-0.0034
-0.0521585358,-0.0066
-0.0521583358,-0.0042
-0.0521581358,-0.005
-0.0521579358,-0.0074
-0.0521577358,-0.0034
-0.0521575358,-0.0046
-0.0521573358,-0.0074
-0.0521571358,-0.0034
-0.0521569358,-0.0006
-0.0521567358,-0.0046
-0.0521565358,-0.005
-0.0521563358,-0.0082
-0.0521561358,-0.0046
-0.0521559358,-0.0022
-0.0521557358,-0.0066
-0.0521555358,-0.001
-0.0521553358,-0.0022
-0.0521551358,-0.003
-0.0521549358,-0.007
-0.0521547358,-0.0054
-0.0521545358,-0.0046
-0.0521543358,-0.0034
-0.0521541358,-0.0058
-0.0521539358,-0.007
-0.0521537358,-0.0046
-0.0521535358,-0.0078
-0.0521533358,-0.003
