LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,12-Feb-2026 14:40:50,0                 
Time,Ampl
-0.0522001148,-0.0018
-0.0521999148,-0.0026
-0.0521997148,-0.0042
-0.0521995148,-0.0042
-0.0521993148,-0.0026
-0.0521991148,-0.003
-0.0521989148,-0.0014
-0.0521987148,-0.0038
-0.0521985148,0.0014
-0.0521983148,-0.0014
-0.0521981148,-0.0022
-0.0521979148,0.0022
-0.0521977148,0.0002
-0.0521975148,0.0018
-0.0521973148,0.0002
-0.0521971148,-0.0018
-0.0521969148,0.0002
-0.0521967148,-0.0034
-0.0521965148,-0.001
-0.0521963148,0.0014
-0.0521961148,-0.0018
-0.0521959148,-0.003
-0.0521957148,0.0018
-0.0521955148,-0.003
-0.0521953148,-0.0014
-0.0521951148,-0.005
-0.0521949148,-0.007
-0.0521947148,-0.0022
-0.0521945148,0.003
-0.0521943148,-0.0018
-0.0521941148,0.0014
-0.0521939148,0.0006
-0.0521937148,-0.001
-0.0521935148,0.001
-0.0521933148,-0.0014
-0.0521931148,0.0022
-0.0521929148,-0.0002
-0.0521927148,-0.0022
-0.0521925148,0.0014
-0.0521923148,-0.0018
-0.0521921148,0.0054
-0.0521919148,0.003
-0.0521917148,0.0014
-0.0521915148,-0.0014
-0.0521913148,-0.0014
-0.0521911148,0.0006
-0.0521909148,0.0002
-0.0521907148,0.0002
-0.0521905148,-0.0002
-0.0521903148,-0.0042
-0.0521901148,-0.0046
-0.0521899148,-0.005
-0.0521897148,-0.005
-0.0521895148,0.003
-0.0521893148,-0.0026
-0.0521891148,0.003
-0.0521889148,0.0022
-0.0521887148,0.0058
-0.0521885148,0.0018
-0.0521883148,0.0018
-0.0521881148,0.0026
-0.0521879148,0.0034
-0.0521877148,0.0042
-0.0521875148,0.0046
-0.0521873148,0.0014
-0.0521871148,-0.001
-0.0521869148,0.0022
-0.0521867148,-0.001
-0.0521865148,-0.0026
-0.0521863148,-0.0026
-0.0521861148,0.0014
-0.0521859148,-0.0018
-0.0521857148,0.0018
-0.0521855148,0.0002
-0.0521853148,-0.0002
-0.0521851148,-0.0046
-0.0521849148,-0.0018
-0.0521847148,0.0002
-0.0521845148,-0.0018
-0.0521843148,-0.0006
-0.0521841148,0.0014
-0.0521839148,-0.0022
-0.0521837148,-0.0002
-0.0521835148,-0.0002
-0.0521833148,-0.001
-0.0521831148,0.0006
-0.0521829148,0.0022
-0.0521827148,-0.0014
-0.0521825148,0.0006
-0.0521823148,0.001
-0.0521821148,0.0018
-0.0521819148,0.0018
-0.0521817148,0.001
-0.0521815148,0.0026
-0.0521813148,-0.001
-0.0521811148,0.0022
-0.0521809148,-0.0018
-0.0521807148,0.0026
-0.0521805148,0.0018
-0.0521803148,0.0002
-0.0521801148,0.0018
-0.0521799148,-0.0026
-0.0521797148,-0.0002
-0.0521795148,-0.0022
-0.0521793148,-0.0042
-0.0521791148,-0.0002
-0.0521789148,-0.0014
-0.0521787148,-0.0026
-0.0521785148,-0.001
-0.0521783148,-0.0022
-0.0521781148,0.0018
-0.0521779148,0.0006
-0.0521777148,-0.0026
-0.0521775148,0.0026
-0.0521773148,-0.0006
-0.0521771148,0.0038
-0.0521769148,0.0022
-0.0521767148,0.0034
-0.0521765148,0.0038
-0.0521763148,-0.0002
-0.0521761148,0.0034
-0.0521759148,0.0018
-0.0521757148,0.001
-0.0521755148,0.0022
-0.0521753148,-0.0022
-0.0521751148,0.0002
-0.0521749148,-0.0002
-0.0521747148,-0.0034
-0.0521745148,-0.0038
-0.0521743148,-0.0014
-0.0521741148,-0.0054
-0.0521739148,-0.0026
-0.0521737148,-0.0058
-0.0521735148,-0.0042
-0.0521733148,-0.0066
-0.0521731148,-0.0054
-0.0521729148,-0.0058
-0.0521727148,-0.0046
-0.0521725148,-0.0038
-0.0521723148,-0.0078
-0.0521721148,-0.0026
-0.0521719148,-0.0006
-0.0521717148,-0.0026
-0.0521715148,0.0002
-0.0521713148,-0.0002
-0.0521711148,0.0002
-0.0521709148,-0.0018
-0.0521707148,0.0002
-0.0521705148,-0.0042
-0.0521703148,-0.0046
-0.0521701148,-0.0034
-0.0521699148,-0.003
-0.0521697148,-0.0034
-0.0521695148,-0.005
-0.0521693148,-0.0066
-0.0521691148,-0.0018
-0.0521689148,-0.0038
-0.0521687148,-0.0026
-0.0521685148,0.001
-0.0521683148,-0.0006
-0.0521681148,0.0018
-0.0521679148,0.0018
-0.0521677148,0.0042
-0.0521675148,0.0014
-0.0521673148,0.003
-0.0521671148,0.0022
-0.0521669148,-0.0022
-0.0521667148,-0.0002
-0.0521665148,-0.0054
-0.0521663148,-0.0018
-0.0521661148,-0.0042
-0.0521659148,-0.003
-0.0521657148,-0.005
-0.0521655148,-0.0014
-0.0521653148,-0.0038
-0.0521651148,-0.0034
-0.0521649148,-0.0014
-0.0521647148,-0.0034
-0.0521645148,-0.0026
-0.0521643148,0.003
-0.0521641148,0.0006
-0.0521639148,0.0046
-0.0521637148,-0.0018
-0.0521635148,0.0046
-0.0521633148,-0.0002
-0.0521631148,-0.0014
-0.0521629148,0.001
-0.0521627148,0.0006
-0.0521625148,-0.001
-0.0521623148,-0.0022
-0.0521621148,-0.0006
-0.0521619148,0.0006
-0.0521617148,0.001
-0.0521615148,-0.0026
-0.0521613148,-0.0034
-0.0521611148,-0.0034
-0.0521609148,0.001
-0.0521607148,-0.0038
-0.0521605148,0.0002
-0.0521603148,-0.003
-0.0521601148,-0.001
-0.0521599148,-0.0002
-0.0521597148,-0.0026
-0.0521595148,-0.0018
-0.0521593148,-0.0034
-0.0521591148,-0.0054
-0.0521589148,-0.005
-0.0521587148,-0.0014
-0.0521585148,-0.001
-0.0521583148,-0.0014
-0.0521581148,0.0034
-0.0521579148,-0.0022
-0.0521577148,0.0018
-0.0521575148,0.0014
-0.0521573148,-0.0026
-0.0521571148,-0.0002
-0.0521569148,-0.0006
-0.0521567148,0.0006
-0.0521565148,-0.0034
-0.0521563148,-0.0006
-0.0521561148,-0.0014
-0.0521559148,-0.0034
-0.0521557148,0.001
-0.0521555148,-0.003
-0.0521553148,-0.0034
-0.0521551148,-0.001
-0.0521549148,-0.0042
-0.0521547148,-0.0042
-0.0521545148,-0.003
-0.0521543148,-0.0022
-0.0521541148,-0.0046
-0.0521539148,-0.0038
-0.0521537148,-0.0054
-0.0521535148,-0.0038
-0.0521533148,-0.0022
-0.0521531148,-0.0042
-0.0521529148,-0.0006
-0.0521527148,-0.0062
-0.0521525148,-0.0042
-0.0521523148,-0.0034
-0.0521521148,-0.003
-0.0521519148,-0.001
-0.0521517148,-0.003
-0.0521515148,-0.0034
-0.0521513148,-0.0038
-0.0521511148,-0.0054
-0.0521509148,-0.0054
-0.0521507148,-0.005
-0.0521505148,-0.0022
-0.0521503148,-0.0074
