LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,12-Feb-2026 14:40:08,0                 
Time,Ampl
-0.0522001299,-0.007
-0.0521999299,-0.007
-0.0521997299,-0.005
-0.0521995299,-0.008
-0.0521993299,-0.004
-0.0521991299,-0.006
-0.0521989299,-0.007
-0.0521987299,-0.009
-0.0521985299,-0.009
-0.0521983299,-0.007
-0.0521981299,-0.009
-0.0521979299,-0.003
-0.0521977299,-0.003
-0.0521975299,-0.01
-0.0521973299,-0.007
-0.0521971299,-0.01
-0.0521969299,-0.011
-0.0521967299,0
-0.0521965299,-0.002
-0.0521963299,-0.011
-0.0521961299,-0.007
-0.0521959299,-0.009
-0.0521957299,-0.009
-0.0521955299,-0.005
-0.0521953299,-0.004
-0.0521951299,-0.005
-0.0521949299,-0.005
-0.0521947299,-0.009
-0.0521945299,0
-0.0521943299,-0.001
-0.0521941299,-0.005
-0.0521939299,0
-0.0521937299,-0.003
-0.0521935299,0
-0.0521933299,0
-0.0521931299,-0.003
-0.0521929299,-0.002
-0.0521927299,-0.002
-0.0521925299,-0.006
-0.0521923299,-0.004
-0.0521921299,0
-0.0521919299,-0.002
-0.0521917299,0.001
-0.0521915299,-0.008
-0.0521913299,-0.001
-0.0521911299,-0.002
-0.0521909299,-0.003
-0.0521907299,-0.007
-0.0521905299,-0.003
-0.0521903299,-0.01
-0.0521901299,-0.01
-0.0521899299,-0.01
-0.0521897299,-0.011
-0.0521895299,-0.006
-0.0521893299,-0.003
-0.0521891299,-0.007
-0.0521889299,-0.004
-0.0521887299,-0.007
-0.0521885299,-0.008
-0.0521883299,-0.003
-0.0521881299,-0.002
-0.0521879299,-0.005
-0.0521877299,0.003
-0.0521875299,0.001
-0.0521873299,-0.004
-0.0521871299,-0.009
-0.0521869299,0.001
-0.0521867299,-0.012
-0.0521865299,-0.009
-0.0521863299,-0.006
-0.0521861299,-0.011
-0.0521859299,-0.01
-0.0521857299,-0.009
-0.0521855299,-0.006
-0.0521853299,-0.002
-0.0521851299,-0.01
-0.0521849299,-0.002
-0.0521847299,-0.004
-0.0521845299,0.001
-0.0521843299,-0.003
-0.0521841299,-0.008
-0.0521839299,-0.003
-0.0521837299,-0.007
-0.0521835299,-0.008
-0.0521833299,-0.004
-0.0521831299,-0.007
-0.0521829299,-0.004
-0.0521827299,-0.009
-0.0521825299,-0.007
-0.0521823299,-0.006
-0.0521821299,-0.006
-0.0521819299,-0.005
-0.0521817299,-0.005
-0.0521815299,-0.004
-0.0521813299,-0.002
-0.0521811299,-0.002
-0.0521809299,-0.007
-0.0521807299,-0.003
-0.0521805299,-0.005
-0.0521803299,-0.008
-0.0521801299,-0.008
-0.0521799299,-0.011
-0.0521797299,-0.009
-0.0521795299,-0.007
-0.0521793299,-0.013
-0.0521791299,-0.009
-0.0521789299,-0.005
-0.0521787299,-0.001
-0.0521785299,-0.011
-0.0521783299,-0.01
-0.0521781299,-0.012
-0.0521779299,-0.002
-0.0521777299,-0.004
-0.0521775299,-0.001
-0.0521773299,0
-0.0521771299,-0.005
-0.0521769299,-0.006
-0.0521767299,-0.007
-0.0521765299,-0.008
-0.0521763299,-0.007
-0.0521761299,-0.012
-0.0521759299,-0.011
-0.0521757299,-0.01
-0.0521755299,-0.008
-0.0521753299,-0.005
-0.0521751299,-0.015
-0.0521749299,-0.006
-0.0521747299,-0.008
-0.0521745299,-0.008
-0.0521743299,-0.011
-0.0521741299,-0.005
-0.0521739299,-0.005
-0.0521737299,-0.007
-0.0521735299,-0.004
-0.0521733299,-0.004
-0.0521731299,-0.005
-0.0521729299,-0.008
-0.0521727299,-0.002
-0.0521725299,-0.009
-0.0521723299,-0.008
