LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,12-Feb-2026 14:41:33,0                 
Time,Ampl
-0.0522000759,-0.0034
-0.0521998759,-0.0054
-0.0521996759,-0.0022
-0.0521994759,-0.0058
-0.0521992759,-0.003
-0.0521990759,-0.0002
-0.0521988759,-0.0026
-0.0521986759,-0.0022
-0.0521984759,-0.0054
-0.0521982759,-0.0014
-0.0521980759,0.0006
-0.0521978759,-0.0042
-0.0521976759,-0.0034
-0.0521974759,-0.0018
-0.0521972759,-0.0022
-0.0521970759,-0.005
-0.0521968759,0.0002
-0.0521966759,-0.0074
-0.0521964759,-0.0046
-0.0521962759,0.0014
-0.0521960759,-0.0018
-0.0521958759,-0.0014
-0.0521956759,-0.003
-0.0521954759,0.0026
-0.0521952759,-0.0014
-0.0521950759,-0.0034
-0.0521948759,0.0022
-0.0521946759,0.0014
-0.0521944759,-0.0002
-0.0521942759,0.0006
-0.0521940759,-0.0006
-0.0521938759,-0.0002
-0.0521936759,0.0022
-0.0521934759,0.003
-0.0521932759,-0.0026
-0.0521930759,0.001
-0.0521928759,-0.0006
-0.0521926759,-0.0022
-0.0521924759,-0.0006
-0.0521922759,-0.001
-0.0521920759,-0.0026
-0.0521918759,-0.003
-0.0521916759,-0.0054
-0.0521914759,-0.0042
-0.0521912759,-0.0026
-0.0521910759,-0.0022
-0.0521908759,-0.0018
-0.0521906759,0.0006
-0.0521904759,-0.0026
-0.0521902759,0.0014
-0.0521900759,0.0018
-0.0521898759,-0.001
-0.0521896759,-0.001
-0.0521894759,0.001
-0.0521892759,0.0002
-0.0521890759,-0.0002
-0.0521888759,-0.0022
-0.0521886759,-0.0042
-0.0521884759,-0.0042
-0.0521882759,-0.0038
-0.0521880759,-0.0058
-0.0521878759,-0.001
-0.0521876759,-0.0054
-0.0521874759,0.001
-0.0521872759,-0.003
-0.0521870759,-0.0026
-0.0521868759,-0.003
-0.0521866759,0.001
-0.0521864759,-0.0022
-0.0521862759,-0.0006
