LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,12-Feb-2026 14:41:22,0                 
Time,Ampl
-0.0522000737,0.0002
-0.0521998737,-0.0022
-0.0521996737,0.001
-0.0521994737,-0.001
-0.0521992737,0.001
-0.0521990737,-0.0002
-0.0521988737,-0.0002
-0.0521986737,0.0022
-0.0521984737,-0.0018
-0.0521982737,-0.001
-0.0521980737,0.0014
-0.0521978737,-0.0022
-0.0521976737,-0.0022
-0.0521974737,-0.0054
-0.0521972737,0.0006
-0.0521970737,-0.0038
-0.0521968737,-0.0038
-0.0521966737,-0.0034
-0.0521964737,-0.0038
-0.0521962737,0.001
-0.0521960737,-0.0018
-0.0521958737,-0.0018
-0.0521956737,-0.0014
-0.0521954737,-0.001
-0.0521952737,-0.0026
-0.0521950737,-0.0034
-0.0521948737,-0.0038
-0.0521946737,-0.0054
-0.0521944737,-0.0058
-0.0521942737,-0.007
-0.0521940737,-0.0014
-0.0521938737,-0.0082
-0.0521936737,-0.005
-0.0521934737,-0.0018
-0.0521932737,-0.0046
-0.0521930737,-0.0066
-0.0521928737,-0.003
-0.0521926737,-0.0026
-0.0521924737,-0.0026
-0.0521922737,-0.0026
-0.0521920737,-0.0034
-0.0521918737,-0.0038
-0.0521916737,0.0006
-0.0521914737,0.0022
-0.0521912737,-0.0022
-0.0521910737,0.0026
-0.0521908737,-0.0018
-0.0521906737,-0.0006
-0.0521904737,0.0002
-0.0521902737,-0.0006
-0.0521900737,-0.005
-0.0521898737,-0.0042
-0.0521896737,-0.001
-0.0521894737,0.0014
-0.0521892737,-0.0038
-0.0521890737,-0.0018
-0.0521888737,-0.0058
-0.0521886737,-0.003
-0.0521884737,-0.0066
-0.0521882737,-0.007
-0.0521880737,-0.0042
-0.0521878737,-0.003
-0.0521876737,-0.0046
-0.0521874737,-0.0094
-0.0521872737,-0.003
-0.0521870737,-0.0042
-0.0521868737,-0.0054
-0.0521866737,-0.0082
-0.0521864737,-0.005
-0.0521862737,-0.0062
-0.0521860737,-0.0026
-0.0521858737,-0.0018
-0.0521856737,0.0002
-0.0521854737,-0.0022
-0.0521852737,-0.003
-0.0521850737,-0.001
-0.0521848737,-0.0014
-0.0521846737,-0.003
-0.0521844737,-0.0022
-0.0521842737,-0.0026
-0.0521840737,-0.0034
-0.0521838737,-0.0046
-0.0521836737,-0.0038
-0.0521834737,-0.0026
-0.0521832737,-0.0026
-0.0521830737,-0.005
-0.0521828737,-0.0034
-0.0521826737,-0.005
-0.0521824737,-0.0078
-0.0521822737,-0.005
-0.0521820737,-0.0062
-0.0521818737,-0.0026
-0.0521816737,-0.0078
-0.0521814737,-0.0046
-0.0521812737,-0.0038
-0.0521810737,-0.0006
-0.0521808737,-0.003
-0.0521806737,0.0018
-0.0521804737,-0.001
-0.0521802737,-0.0042
-0.0521800737,-0.0014
-0.0521798737,-0.0002
-0.0521796737,-0.0014
-0.0521794737,-0.0002
-0.0521792737,-0.0006
-0.0521790737,0.0002
-0.0521788737,-0.0058
-0.0521786737,-0.0002
-0.0521784737,-0.0038
-0.0521782737,-0.0034
-0.0521780737,-0.0006
-0.0521778737,0.0002
-0.0521776737,0.0022
-0.0521774737,-0.0002
-0.0521772737,0.0034
-0.0521770737,-0.003
-0.0521768737,-0.0022
-0.0521766737,-0.0014
-0.0521764737,-0.0046
-0.0521762737,-0.0026
-0.0521760737,-0.0022
-0.0521758737,-0.0054
-0.0521756737,-0.0022
-0.0521754737,-0.0094
-0.0521752737,-0.0002
-0.0521750737,-0.0034
-0.0521748737,-0.0066
-0.0521746737,-0.0042
-0.0521744737,-0.0046
-0.0521742737,-0.0082
-0.0521740737,-0.005
-0.0521738737,-0.005
-0.0521736737,-0.0034
-0.0521734737,-0.0034
-0.0521732737,-0.0034
-0.0521730737,-0.0018
-0.0521728737,-0.0022
-0.0521726737,-0.0038
-0.0521724737,-0.003
-0.0521722737,-0.0034
-0.0521720737,-0.0026
-0.0521718737,-0.0034
-0.0521716737,-0.0022
-0.0521714737,0.0006
-0.0521712737,-0.001
-0.0521710737,-0.003
-0.0521708737,-0.0026
-0.0521706737,-0.0034
-0.0521704737,-0.0002
-0.0521702737,-0.0018
-0.0521700737,-0.0022
-0.0521698737,-0.0006
-0.0521696737,-0.0018
-0.0521694737,-0.0014
-0.0521692737,-0.0026
-0.0521690737,-0.0026
-0.0521688737,-0.003
-0.0521686737,-0.0074
-0.0521684737,-0.0038
-0.0521682737,-0.005
-0.0521680737,-0.0014
-0.0521678737,-0.0042
-0.0521676737,-0.005
-0.0521674737,-0.0002
-0.0521672737,-0.0034
-0.0521670737,-0.001
-0.0521668737,-0.0014
-0.0521666737,0.001
-0.0521664737,-0.0018
-0.0521662737,-0.0026
-0.0521660737,-0.0018
-0.0521658737,-0.0014
-0.0521656737,-0.0002
-0.0521654737,-0.0034
-0.0521652737,-0.0018
-0.0521650737,-0.0014
-0.0521648737,-0.0054
-0.0521646737,0.0002
-0.0521644737,-0.0006
-0.0521642737,-0.0046
-0.0521640737,-0.0034
-0.0521638737,-0.0014
-0.0521636737,-0.003
-0.0521634737,-0.003
-0.0521632737,-0.0042
-0.0521630737,-0.0022
-0.0521628737,-0.0046
-0.0521626737,-0.003
-0.0521624737,-0.0022
-0.0521622737,-0.0002
-0.0521620737,0.0002
-0.0521618737,-0.0074
-0.0521616737,-0.0038
-0.0521614737,-0.007
