time_s,counts_ch4_raw,counts_ch7_raw,counts_ch4_smooth,counts_ch7_smooth,extinction_ratio
0.0,117,210,,,
0.024999999994179234,84,193,,,
0.04999999998835847,82,173,,,
0.0749999999825377,77,188,,,
0.09999999997671694,80,177,,,
0.12499999997089617,101,206,,,
0.1499999999650754,77,193,,,
0.17499999995925464,84,192,,,
0.19999999995343387,78,178,,,
0.2249999999476131,93,177,,,
0.24999999994179234,89,161,92.0,182.4,1.9826086956306237
0.2749999999359716,84,175,90.35,180.5,1.9977863862534833
0.2999999999301508,100,169,89.9,180.25,2.0050055617129585
0.32499999992433004,109,166,90.3,181.5,2.009966777386379
0.3499999999185093,95,161,91.45,181.75,1.9874248222855393
0.3749999999126885,107,198,91.2,181.8,1.9934210526097211
0.39999999990686774,106,185,90.8,180.4,1.9867841409472822
0.424999999901047,91,174,91.5,180.25,1.9699453551697272
0.4499999998952262,109,184,92.15,180.1,1.9544221377975644
0.47499999988940544,77,188,92.7,179.75,1.9390507011657059
0.4999999998835847,84,172,92.1,179.05,1.9440825189799775
0.5249999998777639,75,188,91.2,179.4,1.9671052631363255
0.5499999998719431,90,198,91.45,180.4,1.97266265716815
0.5749999998661224,100,193,90.55,179.45,1.9817780231697206
0.5999999998603016,75,178,89.35,179.65,2.010632344689305
0.6249999998544808,93,178,89.3,181.05,2.0274356102796482
0.6499999998486601,91,190,88.75,181.2,2.041690140822065
0.6749999998428393,97,189,88.1,180.45,2.0482406356180674
0.6999999998370185,89,171,87.9,181.35,2.0631399317171426
0.7249999998311978,81,163,86.95,181.3,2.0851063829547427
0.749999999825377,71,168,87.2,182.0,2.087155963278817
0.7749999998195563,89,195,86.95,181.75,2.0902817711087947
0.7999999998137355,82,150,88.2,181.05,2.0527210884121008
0.8249999998079147,85,170,87.65,180.4,2.05818596689038
0.849999999802094,94,189,88.3,179.2,2.0294450735897005
0.8749999997962732,96,201,89.45,180.15,2.013974287288832
0.8999999997904524,93,170,89.55,179.25,2.0016750418536944
0.9249999997846317,87,192,89.0,178.55,2.0061797752583574
0.9499999997788109,90,183,89.0,178.6,2.00674157301116
0.9749999997729901,82,202,89.75,180.5,2.0111420612589286
0.9999999997671694,79,167,89.75,180.5,2.0111420612589286
